,wine_alcohol,wine_category,wine_country,wine_description,wine_name,wine_point,wine_price,wine_region,wine_variety,year
0,20.0,Port/Sherry,Portugal,"This LBV Port is powered by jammy damson and plum fruits along with dried figs and a juicy aftertaste. The palate is dry, with tannins just in evidence, although the balance is just right. Drink now. ",Delaforce 2011 Late Bottled Vintage  (Port),89,20,Port,Port, 2011
1,20.0,Port/Sherry,Portugal,"This wine has richness, with fine tannins along with exuberant fruit. With its concentration and ripe berry flavors it has power as well as elegance. Juicy and packed with blackberry and damsons, it will be ready to drink from 2026. ",Quevedo 2015 Quinta Vale d'Agodinho Vintage  (Port),93,60,Port,Port, 2015
3,20.0,Port/Sherry,Portugal,"The wine is rich, exuding ripe black fruits as well as dried prune. It balances the fruit with some firm tannins that will allow the wine to age for a few years. For now, it is opulent, finely balanced, and leaves a fine perfumed aftertaste from the Touriga Nacional in the blend. ",Offley 2013 Late Bottled Vintage  (Port),90,26,Port,Port, 2013
5,15.0,Port/Sherry,Spain,"This wine's butterscotch and toffee notes precede a citric palate that fails to capture the basics of good Fino: friendly, crisp and clean. This tastes of sour white fruit and citrus, with a hint of nuttiness. On the finish, it goes past crisp and snappy straight to sharp. ",Bodegas Barón NV Micaela Fino Sherry (Jerez),82,11,Andalucia,Sherry,
6,17.0,Port/Sherry,Spain,"Smooth, rich and easy on the palate, this is a delicious, balanced Sherry. Its nutty, chocolate, mocha and almond flavors finish like a good cup of coffee. ",Pemartín NV Cream Sherry (Jerez),91,14,Andalucia,Sherry,
7,20.0,Port/Sherry,US,"This is made from a majority of Touriga Nacional, with smaller amounts of Cabernet Sauvignon and Tinta Roriz (Tempranillo), and spent nearly 11 years in neutral oak before being bottled in 2017. It appears to be in its prime, beautifully rich on the nose and palate, with integrated, off-dry flavors of candied orange and cherry. ",Prager NV Noble Companion 10-Year-Old Tawny Port (Napa Valley),94,80,California,Port,
8,14.0,Red,Portugal,"From a parcel of 45 different old-vine varieties planted mixed in the traditional way, this wine is bold, ripe and richly textured. Partly fermented in open stone lagars, it has a typical, almost Port-like character. Ripe black plums, rich tannins and a great structure all point to medium-term aging potential. Drink from 2022. ",Quinta do Vallado 2015 Reserva Field Blend Red (Douro),94,65,Douro,Portuguese Red, 2015
9,20.0,Port/Sherry,Portugal,"The wood-aged wine has retained its fruit in the manner of a 10-year-old tawny. While there are plenty of rich red fruits, there is also the layer of wood-aging toast and spice to give the wine an extra dimension. Like all tawnies, this wine is ready to drink. ",Poças 2008 Colheita  (Port),91,40,Port,Port, 2008
10,20.0,Port/Sherry,Portugal,"The wine is dominated by big bold tannins that give a sense of great power. That produces a wine with a strong structure, and a dry edge that will need to soften. Drink this dark firm wine from 2028. ",Quinta do Vallado 2016 Adelaide Vintage  (Port),94,110,Port,Port, 2016
12,18.0,Port/Sherry,US,"An outstanding after-dinner drink, this wine has a tawny color along the rim and abundant nutty mapley apricot-like flavors. A combination of elevated alcohol, good acidity and firm tannins gives it a grip on the palate and contributes to a long tasty nutty finish. ",Meyer Family Cellars NV Port (California),90,35,California,Port,
13,13.5,Red,Portugal,This ripe wine is packed with attractive black fruits. Its light structure will  allow the wine to be drunk young to benefit from the fruitiness and mineral texture. Drink from 2020. ,Symington Family Estates 2016 Altano Naturalmente Red (Douro),87,12,Douro,Portuguese Red, 2016
14,20.0,Port/Sherry,Portugal,"This is a rich, nutty wine, satisfyingly ripe, poised between sweet and dry. Its touch of spirit adds to the sweetness of the wine and balances with the acidity from wood aging. The wine is ready to drink. ",Dow's NV 10 Years Old Tawny  (Port),90,37,Port,Port,
15,20.0,Port/Sherry,Portugal,"The latest incarnation of this most famous of Late Bottled Vintage Ports has so many of the brand's characteristics. It is on the dry side, a balanced wine with acidity as well as the sweet black fruits and with some tannins to give the wine shape. The Port is bottled ready for drinking. ",Taylor Fladgate 2014 Late Bottled Vintage  (Port),90,25,Port,Port, 2014
16,,Red,Portugal,"A blend of five Douro grapes, several of which go into Port, this has a dusty nose and a palate of warm berries. It's a thick, jammy, pungent wine that expands in the mouth to catch all corners. Aged in French oak for about a year, this wine has the potential to age and become something special. ",Sogrape 1996 Reserva Red (Douro),87,13,Douro,Portuguese Red, 1996
17,,White,Portugal,"An oddity for this bastion of red wines and Port, this unknown white happens to be downright good and is reminiscent of Bordeaux blanc; yet it's made from a blend of fairly obscure Portuguese white varietals. Extremely aromatic, floral and clean, it's loaded with green-apple and lees flavor. Slightly creamy with a pleasant texture, this is one to look for. ",Real Vinicola 1998 Porca de Murça Reserva Red (Douro),89,17,Douro,Red Blends, 1998
18,,Red,US,"A ripe, alcoholic nose, with port-like, raisiny fruit. It seems a little sharp and thin on the palate at this point of its development, with alcohol and tannins overriding the fruit. ",Kenwood 1997 Jack London Vineyard Zinfandel (Sonoma Valley),84,20,California,Zinfandel, 1997
19,14.5,Red,US,"This is tough, chewy Zinfandel; fruity and one-dimensional, with overripe, port-like flavors. ",Norman 1997 The Monster Zinfandel (Paso Robles),84,18,California,Zinfandel, 1997
