wine_alcohol,wine_category,wine_country,wine_description,wine_name,wine_point,wine_price,wine_region,wine_variety
20%,Port/Sherry,Portugal,"This LBV Port is powered by jammy damson and plum fruits along with dried figs and a juicy aftertaste. The palate is dry, with tannins just in evidence, although the balance is just right. Drink now. ",Delaforce 2011 Late Bottled Vintage  (Port),89,20,Port,Port
20%,Port/Sherry,Portugal,"This wine has richness, with fine tannins along with exuberant fruit. With its concentration and ripe berry flavors it has power as well as elegance. Juicy and packed with blackberry and damsons, it will be ready to drink from 2026. ",Quevedo 2015 Quinta Vale d'Agodinho Vintage  (Port),93,60,Port,Port
13.3%,Red,US,"This wine opens with aromas of ultraripe grapes, despite the relatively moderate listed alcohol. Baking spices, Christmas cake, plum pastry and almost Port-like flavors (without the alcoholic heat) suggest that very ripe grapes were included in the the mix of fruit. Drink up. ",Provincial Vineyards 2015 Cuvée Duo Estate Pinot Noir (Willamette Valley),88,24,Oregon,Pinot Noir
20%,Port/Sherry,Portugal,"The wine is rich, exuding ripe black fruits as well as dried prune. It balances the fruit with some firm tannins that will allow the wine to age for a few years. For now, it is opulent, finely balanced, and leaves a fine perfumed aftertaste from the Touriga Nacional in the blend. ",Offley 2013 Late Bottled Vintage  (Port),90,26,Port,Port
14%,Red,France,"This estate, based in the Gironde port village of Lamarque, has produced a richly textured, chocolate and bitter-cocoa-flavored wine. That is only a problem at the moment, because ripe black-currant fruits are developing under the structure to give density, concentration and a serious wine as it ages. Drink from 2021. ",Château Malescasse 2015  Haut-Médoc,92,17,Bordeaux,Bordeaux-style Red Blend
15%,Port/Sherry,Spain,"This wine's butterscotch and toffee notes precede a citric palate that fails to capture the basics of good Fino: friendly, crisp and clean. This tastes of sour white fruit and citrus, with a hint of nuttiness. On the finish, it goes past crisp and snappy straight to sharp. ",Bodegas Barón NV Micaela Fino Sherry (Jerez),82,11,Andalucia,Sherry
17%,Port/Sherry,Spain,"Smooth, rich and easy on the palate, this is a delicious, balanced Sherry. Its nutty, chocolate, mocha and almond flavors finish like a good cup of coffee. ",Pemartín NV Cream Sherry (Jerez),91,14,Andalucia,Sherry
20%,Port/Sherry,US,"This is made from a majority of Touriga Nacional, with smaller amounts of Cabernet Sauvignon and Tinta Roriz (Tempranillo), and spent nearly 11 years in neutral oak before being bottled in 2017. It appears to be in its prime, beautifully rich on the nose and palate, with integrated, off-dry flavors of candied orange and cherry. ",Prager NV Noble Companion 10-Year-Old Tawny Port (Napa Valley),94,80,California,Port
14%,Red,Portugal,"From a parcel of 45 different old-vine varieties planted mixed in the traditional way, this wine is bold, ripe and richly textured. Partly fermented in open stone lagars, it has a typical, almost Port-like character. Ripe black plums, rich tannins and a great structure all point to medium-term aging potential. Drink from 2022. ",Quinta do Vallado 2015 Reserva Field Blend Red (Douro),94,65,Douro,Portuguese Red
20%,Port/Sherry,Portugal,"The wood-aged wine has retained its fruit in the manner of a 10-year-old tawny. While there are plenty of rich red fruits, there is also the layer of wood-aging toast and spice to give the wine an extra dimension. Like all tawnies, this wine is ready to drink. ",Poças 2008 Colheita  (Port),91,40,Port,Port
